"Film"	"Production Company(s)"	"Producer(s)"	"Year"
"152"	"Henry V"	"Two Cities Films"	"Laurence Olivier"	1946
"153"	"It's a Wonderful Life"	"RKO Radio"	"Frank Capra"	1946
"154"	"The Razor's Edge"	"20th Century Fox"	"Darryl F. Zanuck"	1946
"155"	"The Yearling"	"Metro-Goldwyn-Mayer"	"Sidney Franklin"	1946
"156"	"Gentleman's Agreement"	"20th Century Fox"	"Darryl F. Zanuck"	1947
"157"	"The Bishop's Wife"	"RKO Radio"	"Samuel Goldwyn"	1947
"158"	"Crossfire"	"RKO Radio"	"Adrian Scott"	1947
"159"	"Great Expectations"	"Cineguild"	"Ronald Neame"	1947
"160"	"Miracle on 34th Street"	"20th Century Fox"	"William Perlberg"	1947
"161"	"Hamlet"	"Two Cities Films"	"Laurence Olivier"	1948
"162"	"Johnny Belinda"	"Warner Bros."	"Jerry Wald"	1948
"163"	"The Red Shoes"	"Independent Producers, The Archers"	"Michael Powell, Emeric Pressburger"	1948
"164"	"The Snake Pit"	"20th Century Fox"	"Anatole Litvak, Robert Bassler"	1948
"165"	"The Treasure of the Sierra Madre"	"Warner Bros."	"Henry Blanke"	1948
"166"	"All the King's Men"	"Rossen, Columbia"	"Robert Rossen"	1949
"167"	"Battleground"	"Metro-Goldwyn-Mayer"	"Dore Schary"	1949
"168"	"The Heiress"	"Paramount"	"William Wyler"	1949
"169"	"A Letter to Three Wives"	"20th Century Fox"	"Sol C. Siegel"	1949
"170"	"Twelve O'Clock High"	"20th Century Fox"	"Darryl F. Zanuck"	1949
"171"	"All About Eve"	"20th Century Fox"	"Darryl F. Zanuck"	1950
"172"	"Born Yesterday"	"Columbia"	"S. Sylvan Simon"	1950
"173"	"Father of the Bride"	"Metro-Goldwyn-Mayer"	"Pandro S. Berman"	1950
"174"	"King Solomon's Mines"	"Metro-Goldwyn-Mayer"	"Sam Zimbalist"	1950
"175"	"Sunset Boulevard"	"Paramount"	"Charles Brackett"	1950
"176"	"An American in Paris"	"Metro-Goldwyn-Mayer"	"Arthur Freed"	1951
"177"	"Decision Before Dawn"	"20th Century Fox"	"Anatole Litvak, Frank McCarthy"	1951
"178"	"A Place in the Sun"	"Paramount"	"George Stevens"	1951
"179"	"Quo Vadis"	"Metro-Goldwyn-Mayer"	"Sam Zimbalist"	1951
"180"	"A Streetcar Named Desire"	"Warner Bros."	"Charles K. Feldman"	1951
"181"	"The Greatest Show on Earth"	"Paramount"	"Cecil B. DeMille"	1952
"182"	"High Noon"	"United Artists"	"Stanley Kramer"	1952
"183"	"Ivanhoe"	"Metro-Goldwyn-Mayer"	"Pandro S. Berman"	1952
"184"	"Moulin Rouge"	"Romulus Films"	"John Huston, John and James Woolf"	1952
"185"	"The Quiet Man"	"Republic"	"John Ford, Merian C. Cooper"	1952
"186"	"From Here to Eternity"	"Columbia"	"Buddy Adler"	1953
"187"	"Julius Caesar"	"Metro-Goldwyn-Mayer"	"John Houseman"	1953
"188"	"The Robe"	"20th Century Fox"	"Frank Ross"	1953
"189"	"Roman Holiday"	"Paramount"	"William Wyler"	1953
"190"	"Shane"	"Paramount"	"George Stevens"	1953
"191"	"On the Waterfront"	"Columbia"	"Sam Spiegel [N]"	1954
"192"	"The Caine Mutiny"	"Columbia"	"Stanley Kramer"	1954
"193"	"The Country Girl"	"Paramount"	"William Perlberg"	1954
"194"	"Seven Brides for Seven Brothers"	"Metro-Goldwyn-Mayer"	"Jack Cummings"	1954
"195"	"Three Coins in the Fountain"	"20th Century Fox"	"Sol C. Siegel"	1954
"196"	"Marty"	"United Artists, Steven Productions, Hecht-Lancaster Productions"	"Harold Hecht"	1955
"197"	"Love Is a Many-Splendored Thing"	"20th Century Fox"	"Buddy Adler"	1955
"198"	"Mister Roberts"	"Warner Bros."	"Leland Hayward"	1955
"199"	"Picnic"	"Columbia"	"Fred Kohlmar"	1955
"200"	"The Rose Tattoo"	"Paramount"	"Hal B. Wallis"	1955
"201"	"Around the World in 80 Days"	"United Artists, Michael Todd Productions"	"Michael Todd"	1956
"202"	"Friendly Persuasion"	"Allied Artists"	"William Wyler"	1956
"203"	"Giant"	"Warner Bros."	"George Stevens, Henry Ginsberg"	1956
"204"	"The King and I"	"20th Century Fox"	"Charles Brackett"	1956
"205"	"The Ten Commandments"	"Paramount"	"Cecil B. DeMille"	1956
"206"	"The Bridge on the River Kwai"	"Horizon Pictures"	"Sam Spiegel"	1957
"207"	"12 Angry Men"	"United Artists"	"Henry Fonda, Reginald Rose"	1957
"208"	"Peyton Place"	"20th Century Fox"	"Jerry Wald"	1957
"209"	"Sayonara"	"Warner Bros."	"William Goetz"	1957
"210"	"Witness for the Prosecution"	"United Artists"	"Arthur Hornblow, Jr."	1957
"211"	"Gigi"	"Metro-Goldwyn-Mayer"	"Arthur Freed"	1958
"212"	"Auntie Mame"	"Warner Bros."	"Jack L. Warner"	1958
"213"	"Cat on a Hot Tin Roof"	"Metro-Goldwyn-Mayer"	"Lawrence Weingarten"	1958
"214"	"The Defiant Ones"	"Kramer, United Artists"	"Stanley Kramer"	1958
"215"	"Separate Tables"	"United Artists"	"Harold Hecht"	1958
"216"	"Ben-Hur"	"Metro-Goldwyn-Mayer"	"Sam Zimbalist"	1959
"217"	"Anatomy of a Murder"	"Columbia"	"Otto Preminger"	1959
"218"	"The Diary of Anne Frank"	"20th Century Fox"	"George Stevens"	1959
"219"	"The Nun's Story"	"Warner Bros."	"Henry Blanke"	1959
"220"	"Room at the Top"	"Remus Films"	"John and James Woolf"	1959
"221"	"The Apartment"	"United Artists, The Mirisch Company"	"Billy Wilder"	1960
"222"	"The Alamo"	"United Artists, Batjac Productions"	"John Wayne"	1960
"223"	"Elmer Gantry"	"United Artists"	"Bernard Smith"	1960
"224"	"Sons and Lovers"	"20th Century Fox"	"Jerry Wald"	1960
"225"	"The Sundowners"	"Warner Bros."	"Fred Zinnemann"	1960
"226"	"West Side Story"	"United Artists"	"Robert Wise"	1961
"227"	"Fanny"	"Warner Bros."	"Joshua Logan"	1961
"228"	"The Guns of Navarone"	"Columbia, High Road"	"Carl Foreman"	1961
"229"	"The Hustler"	"20th Century Fox"	"Robert Rossen"	1961
"230"	"Judgment at Nuremberg"	"United Artists"	"Stanley Kramer"	1961
"231"	"Lawrence of Arabia"	"Horizon Pictures"	"Sam Spiegel"	1962
"232"	"The Longest Day"	"20th Century Fox"	"Darryl F. Zanuck"	1962
"233"	"The Music Man"	"Warner Bros."	"Morton DaCosta"	1962
"234"	"Mutiny on the Bounty"	"Metro-Goldwyn-Mayer"	"Aaron Rosenberg"	1962
"235"	"To Kill a Mockingbird"	"Universal-International"	"Alan J. Pakula"	1962
"236"	"Tom Jones"	"Woodfall Films"	"Tony Richardson"	1963
"237"	"America America"	"Warner Bros."	"Elia Kazan"	1963
"238"	"Cleopatra"	"20th Century Fox"	"Walter Wanger"	1963
"239"	"How the West Was Won"	"Metro-Goldwyn-Mayer, Cinerama"	"Bernard Smith"	1963
"240"	"Lilies of the Field"	"United Artists"	"Ralph Nelson"	1963
"241"	"My Fair Lady"	"Warner Bros."	"Jack L. Warner"	1964
"242"	"Becket"	"Keep Films, Paramount Film Service"	"Hal B. Wallis"	1964
"243"	"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"	"Columbia, Hawk Films"	"Stanley Kubrick"	1964
"244"	"Mary Poppins"	"Disney"	"Walt Disney, Bill Walsh"	1964
"245"	"Zorba the Greek"	"20th Century Fox"	"Michael Cacoyannis"	1964
"246"	"The Sound of Music"	"20th Century Fox"	"Robert Wise"	1965
"247"	"Darling"	"Vic Films, Appia Films"	"Joseph Janni"	1965
"248"	"Doctor Zhivago"	"Metro-Goldwyn-Mayer"	"Carlo Ponti"	1965
"249"	"Ship of Fools"	"Columbia"	"Stanley Kramer"	1965
"250"	"A Thousand Clowns"	"United Artists"	"Fred Coe"	1965
"251"	"A Man for All Seasons"	"Columbia, Highland Films"	"Fred Zinnemann"	1966
"252"	"Alfie"	"Sheldrake Films"	"Lewis Gilbert"	1966
"253"	"The Russians Are Coming, the Russians Are Coming"	"United Artists"	"Norman Jewison"	1966
"254"	"The Sand Pebbles"	"20th Century Fox"	"Robert Wise"	1966
"255"	"Who's Afraid of Virginia Woolf?"	"Warner Bros."	"Ernest Lehman"	1966
"256"	"In the Heat of the Night"	"United Artists"	"Walter Mirisch"	1967
"257"	"Bonnie and Clyde"	"Warner Bros., Seven Arts"	"Warren Beatty"	1967
"258"	"Doctor Dolittle"	"20th Century Fox"	"Arthur P. Jacobs"	1967
"259"	"The Graduate"	"Embassy"	"Lawrence Turman"	1967
"260"	"Guess Who's Coming to Dinner"	"Columbia"	"Stanley Kramer"	1967
"261"	"Oliver!"	"Romulus Films, Warwick Film Productions"	"John Woolf"	1968
"262"	"Funny Girl"	"Columbia"	"Ray Stark"	1968
"263"	"The Lion in Winter"	"Embassy, Haworth Productions"	"Martin Poll"	1968
"264"	"Rachel, Rachel"	"Warner Bros."	"Paul Newman"	1968
"265"	"Romeo and Juliet"	"B.H.E. Productions, Verona Produzione, Dino De Laurentiis"	"Anthony Havelock-Allan, John Brabourne"	1968
"266"	"Midnight Cowboy"	"United Artists"	"Jerome Hellman"	1969
"267"	"Anne of the Thousand Days"	"Universal"	"Hal B. Wallis"	1969
"268"	"Butch Cassidy and the Sundance Kid"	"20th Century Fox"	"John Foreman"	1969
"269"	"Hello, Dolly!"	"20th Century Fox"	"Ernest Lehman"	1969
"270"	"Z [K]"	"O.N.C.I.C., Cinema V"	"Jacques Perrin, Ahmed Rachedi"	1969
"271"	"Patton"	"20th Century Fox"	"Frank McCarthy"	1970
"272"	"Airport"	"Universal"	"Ross Hunter"	1970
"273"	"Five Easy Pieces"	"Columbia"	"Bob Rafelson, Richard Wechsler"	1970
"274"	"Love Story"	"Paramount"	"Howard G. Minsky"	1970
"275"	"M*A*S*H"	"20th Century Fox"	"Ingo Preminger"	1970
"276"	"The French Connection"	"20th Century Fox"	"Philip D'Antoni"	1971
"277"	"A Clockwork Orange"	"Warner, Hawk Films"	"Stanley Kubrick"	1971
"278"	"Fiddler on the Roof"	"United Artists"	"Norman Jewison"	1971
"279"	"The Last Picture Show"	"Columbia"	"Stephen J. Friedman"	1971
"280"	"Nicholas and Alexandra"	"Columbia"	"Sam Spiegel"	1971
"281"	"The Godfather"	"Paramount"	"Albert S. Ruddy"	1972
"282"	"Cabaret"	"Allied Artists, ABC Pictures"	"Cy Feuer"	1972
"283"	"Deliverance"	"Warner Bros."	"John Boorman"	1972
"284"	"The Emigrants [K]"	"Svensk Filmindustri"	"Bengt Forslund"	1972
"285"	"Sounder"	"20th Century Fox"	"Robert B. Radnitz"	1972
"286"	"The Sting"	"Universal"	"Tony Bill, Michael Phillips, Julia Phillips"	1973
"287"	"American Graffiti"	"Lucasfilm, Universal, Coppola Co."	"Francis Ford Coppola, Gary Kurtz"	1973
"288"	"Cries and Whispers [K]"	"Cinematograph, Svenska Filminstitutet"	"Ingmar Bergman"	1973
"289"	"The Exorcist"	"Warner Bros."	"William Peter Blatty"	1973
"290"	"A Touch of Class"	"Avco Embassy, Gordon Film Productions"	"Melvin Frank"	1973
"291"	"The Godfather Part II [O]"	"Paramount"	"Francis Ford Coppola, Gray Frederickson, Fred Roos"	1974
"292"	"Chinatown"	"Paramount"	"Robert Evans"	1974
"293"	"The Conversation"	"Paramount, Coppola Co."	"Francis Ford Coppola"	1974
"294"	"Lenny"	"United Artists"	"Marvin Worth"	1974
"295"	"The Towering Inferno"	"20th Century Fox, Warner Bros."	"Irwin Allen"	1974
